year,Crash Month,dayweek,co_char,roadclass,weather,lightcond,numfatal,intersectiontype,wk_zone,spdlim,hitrun_inv,dralc_inv,aid_inv,did_inv,id_inv,impnm_inv,nmalc_inv,ainm_inv,dinm_inv,speed_inv,unlic_inv,drowsy_inv,dr1517_inv,dr1820_inv,dr1520_inv,dr2124_inv,dr1524_inv,dr65_inv,dr70_inv,dr75_inv,wrongway,oppdir
2022,2,Friday,Pierce,State route,10,2,1,1,0,55,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,2,Saturday,Grant,County road,1,2,1,1,0,55,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2022,2,Tuesday,King,State route,1,3,2,2,0,35,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2022,1,Friday,Snohomish,State route,2,3,1,2,0,30,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Thursday,Benton,State route,1,2,2,1,0,55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2022,2,Thursday,Stevens,US highway,5,1,1,3,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2022,2,Friday,Clark,County road,2,2,1,1,0,50,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2022,2,Sunday,Franklin,US highway,1,2,1,1,0,60,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Tuesday,Snohomish,Interstate,10,1,1,1,0,70,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0
2022,2,Thursday,Benton,City street,1,4,1,1,0,35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2022,2,Monday,Pierce,City street,10,3,1,3,0,35,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,2,Thursday,King,County road,10,5,1,1,0,45,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
2022,2,Saturday,Snohomish,State route,1,3,1,1,0,45,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Monday,Pierce,City street,2,1,1,1,0,35,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Monday,Mason,City street,1,1,1,3,0,98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
2022,1,Friday,Walla Walla,County road,10,3,1,1,0,40,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2022,2,Sunday,King,State route,1,3,1,2,0,98,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2022,2,Friday,Spokane,City street,1,1,1,2,0,25,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
2022,2,Wednesday,Pierce,State route,1,2,1,1,0,50,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2022,2,Wednesday,Snohomish,State route,1,3,1,1,0,35,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
2022,2,Friday,Skagit,County road,1,2,1,2,0,35,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
2022,2,Saturday,Snohomish,Interstate,1,2,2,1,0,60,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0
2022,2,Sunday,Grays Harbor,US highway,2,2,1,1,0,60,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0
2022,1,Thursday,Snohomish,State route,2,3,2,2,0,45,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Monday,Lincoln,US highway,1,1,1,1,0,60,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
2022,2,Wednesday,Pierce,State route,1,5,1,2,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2022,2,Saturday,King,County road,10,1,1,1,0,35,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2022,2,Tuesday,Pierce,Interstate,10,2,1,1,0,60,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022,1,Tuesday,Pacific,County road,5,9,1,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2022,2,Friday,Jefferson,US highway,1,2,1,1,0,55,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Wednesday,Adams,State route,1,2,2,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2022,2,Monday,King,State route,2,3,1,2,0,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Tuesday,King,City street,1,1,1,2,0,35,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
2022,3,Tuesday,Spokane,City street,10,3,1,1,0,98,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,2,Friday,Pierce,City street,10,3,2,4,0,35,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,2,Sunday,Benton,City street,1,3,3,2,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
2022,2,Friday,Yakima,County road,1,2,1,1,0,40,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Thursday,Pacific,US highway,1,1,1,1,0,55,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2022,3,Wednesday,Lewis,County road,1,2,1,1,0,40,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Wednesday,Grant,County road,1,2,1,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022,2,Sunday,Benton,City street,1,3,1,1,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Wednesday,Clark,County road,10,2,1,1,0,98,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2022,2,Friday,King,Interstate,1,2,1,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Saturday,Stevens,County road,1,1,1,1,0,50,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,3,Sunday,Kitsap,City street,1,3,2,1,1,35,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2022,3,Saturday,Pierce,City street,1,3,1,1,0,30,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Monday,Benton,State route,1,1,1,1,0,50,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022,2,Sunday,Yakima,County road,10,2,1,2,0,50,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Thursday,Pierce,Interstate,1,1,1,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,2,Monday,Whatcom,City street,8,3,1,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,3,Thursday,Pierce,State route,1,3,1,1,0,35,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0
2022,3,Thursday,Snohomish,State route,1,3,1,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
